Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
1962.10.14,14/10/1962,1962,Boat,South Australia,Port Phillip Bay,Adrift after wave swamped engine,M,unknown,N,unknown,Grey nurse shark
1962.06.07,7/06/1962,1962,Boat,Western Australia,Emu Point,Fishing,unknown,unknown,N,07h00,unknown
1962.04.20,20/04/1962,1962,Provoked,Queensland,Nobbys Beach,Fishing,unknown,unknown,N,unknown,"Bronze whaler shark, 3.7 m [12'] "
1962.03.25.a,25/03/1962,1962,Boat,New South Wales,Norah Head,Fishing & spearfishing,unknown,unknown,N,unknown,"Bronze whaler shark, 4.6 m [15'] "
1962.02.15,15/02/1962,1962,Unprovoked,Queensland,Between Smith’s Rock & Moreton Island,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,unknown,N,A.M.,3.7 m [12'] shark
1962.02.04,4/02/1962,1962,Unprovoked,Queensland,Greenmount Beach,Swimming,M,35,N,14h30,60 cm  shark 
1962.01.21,21/01/1962,1962,Provoked,New South Wales,Cronulla,Spearfishing,M,19,N,unknown,"Bronze whaler shark,  3m [10'] "
1962.01.14.b,14/01/1962,1962,Provoked,New South Wales,"Long Reef, North Manly",Spearfishing,unknown,unknown,N,unknown," Grey nurse shark,  3 m [10'] "
1962.01.14.a,14/01/1962,1962,Unprovoked,New South Wales,"Lennox Head, Ballina",Surfing,M,19,N,13h30,"2.1 m [7'] shark, a shark's serrated tooth recovered from toe"
1962.01.11.c,11/01/1962,1962,Boat,South Australia,Marino,Fishing,unknown,unknown,N,unknown,Said to involve a Grey nurse shark 3.7 m [12'] 
1962.01.10,10/01/1962,1962,Boat,South Australia,Ceduna,Fishing for sharks,unknown,unknown,N,unknown,White shark
1962.01.08,8/01/1962,1962,unknown,New South Wales,Lake Illawarra,Swimming,M,25,Y,unknown,10' whale
1962.01.07.b,7/01/1962,1962,Provoked,Queensland,Dicky Beach,Rowing,unknown,unknown,N,unknown,unknown
1962.01.07.a,7/01/1962,1962,Unprovoked,New South Wales,Sydney,Surfing,unknown,unknown,N,unknown,unknown
1962.01.02,2/01/1962,1962,Provoked,New South Wales,"Seaspray, near Sale",Fishing,unknown,unknown,N,unknown,2.7 m [9'] shark
1961.12.28.c,28/12/1961,1961,Unprovoked,Queensland,"Lambert's Beach, Mackay",Standing,F,18,Y,16h15,3 m [10'] shark
1961.12.28.b,28/12/1961,1961,Unprovoked,Queensland,"Lambert’s Beach, Mackay",Standing,M,24,N,16h15,3 m [10'] shark
1961.12.27,27/12/1961,1961,Provoked,Western Australia,"North of main swimming area in Waterman's Bay Beach, Perth",Spearfishing,M,23,N,07h00,"Grey nurse shark, 2.4 m [8'] "
1961.12.19,19/12/1961,1961,Boat,South Australia,Cowell,"Fishing, hauling in a 5-lb snapper",unknown,unknown,N,unknown,2.7 m [9'] shark
1961.12.18.a,18/12/1961,1961,Unprovoked,Queensland,Noosa Heads,"Surfing, pushing board ashore",M,22,Y,06h15,Next morning a 3 m [10'] shark was caught that had Andrews' leg in its gut
1961.12.13,13/12/1961,1961,Unprovoked,Torres Strait,"Horn Island, near Thursday Island",Swimming with other crew near wharf,M,17,N,14h00,1.8 m [6'] shark
1961.09.06,6/09/1961,1961,unknown,Western Australia,Broome,Attaching a line at sea,unknown,unknown,Y,unknown,unknown
1961.07.07.b,7/07/1961,1961,Provoked,Queensland,Cape Moreton,Shark fishing,unknown,unknown,N,unknown,"White shark, 5.2 m [17'], 2500-lb "
1961.05.07,7/05/1961,1961,Provoked,Western Australia,"Quinn’s Rocks, south of Yanchep",Spearfishing,M,unknown,N,unknown,unknown
1961.04.25,25/04/1961,1961,Provoked,New South Wales,"Trial Bay, north of Kempsey",Spearfishing,M,unknown,N,12h00,"Wobbegong shark, 1.4 m [4'6""] "
1961.04.16.a,16/04/1961,1961,Provoked,New South Wales,Otford,Spearfishing,M,21,N,unknown,"Wobbegong shark, O. barbatus,  1.8 m [6'], identified by G.P. Whitley"
1961.04.14,14/04/1961,1961,Unprovoked,New South Wales,10 miles off Nambucca Heads  onboard trawler,"Checking fish traps, fell into the water",M,40,N,Night," ""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']"
1961.04.03,3/04/1961,1961,Unprovoked,Victoria,Flinders Island,Spearfishing,M,24,N,unknown,"Grey nurse shark, 2,7 m [9'], 200-lb "
1961.04.00,1/04/1961,1961,Provoked,Western Australia,Rottnest Island,Spearfishing,M,unknown,N,unknown,"Wobbegong shark, 1.4 m [4.6'] "
1961.03.30,30/03/1961,1961,Unprovoked,South Australia,Glenelg Breakwater,Spearfishing,M,24,N,unknown,"Bronze whaler shark, 2.4 m [8'] Identified by Clyde Buttery"
1961.03.18,18/03/1961,1961,Unprovoked,Victoria,Lady Beach at Warrnambool,Swimming,M,24,N,Late afternoon,3 m [10'] shark
1961.03.14,14/03/1961,1961,Provoked,Western Australia,Shark Bay,Fishing from dinghy,F,unknown,N,unknown,unknown
1961.03.12,12/03/1961,1961,Unprovoked,South Australia,Aldinga Beach,Spearfishing,M,21,N,14h30,"White shark, 3.7 m [12'] "
1961.02.17.a,17/02/1961,1961,Unprovoked,Victoria,Mount Martha Beach,Standing,F,unknown,N,18h00,"2' ""banjo shark"""
1961.02.01.a,1/02/1961,1961,Unprovoked,Western Australia,Carnac Island,Collecting crayfish,M,unknown,N,unknown,"Grey nurse shark, 2.7 m [9'] "
1961.01.15,15/01/1961,1961,Provoked,New South Wales,Cook Island,Collecting aquarium specimens,M,27,N,Morning,"Wobbegong shark, 1.5 m [5'] "
1961.01.06.a,6/01/1961,1961,Provoked,Northern Territory,"Stokes Hill Wharf, Darwin",Fishing,M,unknown,N,unknown,"Hammerhead shark, 1.8 m [6'] "
1961.01.02.R,2/01/1961,1961,Boat,Tasmania,Off Tasman Island,Ocean racing,unknown,unknown,N,unknown,unknown
1961.00.00.e,14/05/1905,1961,Boat,New South Wales,South coast,Fishing for mackerel,unknown,unknown,N,unknown,unknown
1960.12.27.a.,27/12/1960,1960,Unprovoked,New South Wales,"Bondi Beach, Sydney",unknown,F,27, N,unknown,3 m [10'] shark
1960.12.20,20/12/1960,1960,Unprovoked,Queensland,"College’s Crossing, 54 miles above mouth of the Brisbane River","Fishing, when line became snagged on rock & he dived into water to free it ",M,33, N,09h00,"Grey nurse shark, 1m "
1960.12.01,1/12/1960,1960,Unprovoked,Queensland,"Colledge's Crossing, Brisbane River",Fishing,M,unknown,N,unknown,"Bull shark, 1m "
1960.11.27,27/11/1960,1960,Unprovoked,Queensland,"Black’s Beach, 9 miles north of Mackay",Swimming,M,41, N,14h45,3' shark
1960.11.11,11/11/1960,1960,Provoked,Queensland,"Scott’s Point, Redcliffe Peninsula",Chasing shark out of bathing area while riding on a surf-ski,M,17, N,15h00,unknown
1960.11.06,6/11/1960,1960,Unprovoked,Western Australia,Hamelin Bay,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,24, N,unknown,"Wobbegong shark, 1.8 m [6'] "
1960.10.02,1/10/1960,1960,unknown,New South Wales,North Head,Fishing,M,24, N,unknown,Shark involvement not confirmed
1960.09.18,18/09/1960,1960,Boat,Western Australia,Frenchman Bay,unknown,unknown,unknown,N,unknown,3.7 m [12'] shark
1960.04.22,22/04/1960,1960,Provoked,Western Australia,Rottnest Island,"Fishing, hauling in a set line",M,unknown,N,unknown,"Bronze whaler shark, 3 m [10'], 200-lb"
1960.04.12,12/04/1960,1960,Unprovoked,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,M,17,N,Late afternoon,"White shark, 3.7 m [12'] "
1960.04.10,10/04/1960,1960,Provoked,Western Australia,Off Rottnest Island,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,unknown,N,unknown,"Sandtiger shark, 2.1 m [7'] "
1960.04.03.b,3/04/1960,1960,Unprovoked,Victoria,"Canadian Bay near Mount Eliza, 30 miles from Melbourne",Spearfishing,M,unknown,N,unknown,1.5 m [5'] shark
1960.04.03.a,3/04/1960,1960,Unprovoked,New South Wales,Off Broughton Island near Port Stephens,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark’s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,unknown,N,12h00,"Bronze whaler shark, 3.7 m [12'] identified by G.P. Whitley based on description"
1960.04.01,1/04/1960,1960,Provoked,South Australia,Hog Bay,Shark fishing,unknown,unknown,N,unknown,White shark
1960.02.29,29/02/1960,1960,Unprovoked,Tasmania,Ralph Bay,"Wading, fishing for flounder",M,31,N,Night,Two 2.1 m [7'] sharks
1960.02.10.,10/02/1960,1960,Provoked,New South Wales,Near Bondi Beach,Shark fishing,unknown,unknown,N,unknown,"Tiger shark, 14' "
1960.02.07,7/02/1960,1960,Provoked,New South Wales,Wattamolla National Park,Spearfishing,M,20,N,unknown,"Grey nurse shark, 2.9 m [9'6""] "
1960.01.21,21/01/1960,1960,Boat,South Australia,Millicent,unknown,unknown,unknown,N,unknown,Blue pointer
1960.01.16,16/01/1960,1960,Unprovoked,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",Free diving,M,13,Y,15h30,Bull shark
1960.01.13,13/01/1960,1960,Provoked,Western Australia,Geraldton,"Fishing, lifting shark out of craypot",M,unknown,N,P.M.,Wobbegong shark
1960.01.07,7/01/1960,1960,Boat,Tasmania,Eaglehawk Neck,Setting crayfish pots,unknown,unknown,N,09h00,4.9 m [16'] shark
1959.12.29,29/12/1959,1959,Boat,Queensland,Scotts Point Beach ,Paddling,unknown,unknown,N,Afternoon,3.7 m [12'] tiger shark
1959.12.28,28/12/1959,1959,Boat,New South Wales,"Leichardt, Sydney",Fishing,unknown,40,N,Late night,2.4 m  [8'] shark
1959.12.19.b,19/12/1959,1959,Unprovoked,Queensland,"Off Wynnum in Moreton Bay, near Brisbane",Dived from dinghy to retrieve oar in heavy seas,M,29,Y,06h00,unknown
1959.12.11,11/12/1959,1959,Provoked,Victoria,"Altona, Melbourne","Spearfishing, Smith  & Walker touched shark with tip of their guns",M,26,N,unknown,2.7 m [9']  shark
1959.12.07,7/12/1959,1959,unknown,South Australia,Laura Bay,Spearfishing,M,unknown,N,unknown,unknown
1959.11.29,29/11/1959,1959,Unprovoked,Victoria,"Fairhaven Beach, Lorne",Body surfing,M,19,N,14h45,3.5 m [11.5'] shark
1959.11.28,28/11/1959,1959,Unprovoked,Queensland,"North Burleigh, near Brisbane",Standing in chest-deep water,M,17,N,07h30,"""a small shark"""
1959.11.22,22/11/1959,1959,Unprovoked,Queensland,"Surfer's Paradise, Northcliffe",Trailing the field in a surf race,M,19,N,11h00,3 m to 4.3 m [10' to 14'] shark
1959.11.12.R,12/11/1959,1959,Provoked,South Australia,Near Port Vincent,Shark fishing,unknown,unknown,N,unknown,6 m [20'] shark
1959.11.09,9/11/1959,1959,Provoked,Western Australia, Perth,"Spearfishing, shot shark, hauled it onto boat",M,unknown,N,unknown,"Carpet shark, 1.5 m [5']"
1959.08.30,30/08/1959,1959,unknown,Tasmania,unknown,Swimming,M,unknown,N,unknown,Sandtiger shark
1959.04.27,27/04/1959,1959,unknown,New South Wales,Maroubra Bay,Spearfishing,M,22,N,unknown,unknown
1959.04.11,11/04/1959,1959,Unprovoked,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",Diving for pearl shell,M,43,N,unknown,"Tiger shark, 1.8 m [6'] "
1959.04.05,5/04/1959,1959,Unprovoked,New South Wales,Thirroul,Spearfishing,M,unknown,N,unknown,unknown
1959.02.28,28/02/1959,1959,Boat,Victoria,Port Phillip Bay,Fishing for snapper,M,unknown,N,unknown,"Mako shark, 2.4 m [8'], <300-lb, identified by Dr. L.P. L. Schultz on photograph"
1959.01.31,31/01/1959,1959,Unprovoked,Western Australia,South Perth,Working prawn net,M,20,N,Night,"Grey nurse shark, 1.8 m [6']"
1959.01.25,25/01/1959,1959,Unprovoked,Tasmania,"Whale Bay, King Island, Bass Strait",Swimming with motor tube,M,16,N,unknown,unknown
1959.01.17.b,17/01/1959,1959,Unprovoked,Tasmania,Safety Cove,In deep water about 100 yards from his ship,M,22,Y,16h30,Said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] 
1959.01.17.a,17/01/1959,1959,Unprovoked,Queensland,Alexandra Headland near Mooloolaba,"Surfing, but treading water",M,17,N,09h30,1.8 m [6'] shark
1959.01.00,1/01/1959,1959,Unprovoked,Tasmania,Badger Head,Spearfishing / free diving,M,unknown,N,unknown,1.5 m [5'] shark
1958.11.23,23/11/1958,1958,Unprovoked,Queensland,Surfer's Paradise,Swimming,M,21,Y,15h15,12' shark
1958.06.15,15/06/1958,1958,unknown,Queensland,Green Island,Swimming,F,unknown,N,unknown,5' shark
1958.02.19,19/02/1958,1958,unknown,New South Wales,unknown,Spearfishing,M,21,Y,Late afternoon,unknown
1958.01.27,27/01/1958,1958,Unprovoked,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,Spearfishing / swimming on surface,M,17,N,unknown,unknown
1958.01.19,19/01/1958,1958,Unprovoked,New South Wales,Brunswick Heads,Body surfing,M,14,N,16h30,6' shark
1957.12.31,31/12/1957,1957,Unprovoked,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",Spearfishing,M,unknown,N,unknown,unknown
1957.11.04.R,4/11/1957,1957,Boat,New South Wales,Off Scotts,Fishing,unknown,unknown,N,unknown,unknown
1957.07.09,9/07/1957,1957,Unprovoked,Torres Strait,Near Thursday Island,Diving for trochus,M,36,N,unknown,9' shark
1957.05.11,11/05/1957,1957,Unprovoked,New South Wales,"Tea Gardens, north of Newcastle",Competing in spearfishing championship & towing dead fish,M,28,N,12h00,4.6 m [15'] shark
1957.04.23,23/04/1957,1957,Unprovoked,New South Wales,"Merewether Beach, Newcastle",Surfing,M,15,N,unknown,Wobbegong shark?
1957.04.13,13/04/1957,1957,Unprovoked,Torres Strait,"Thursday Island Harbour, Queensland",Swimming between  anchored  pearling luggers,M,22,N,14h00,Shark seen feeding on turtle scraps thrown overboard prior to incident.
1957.02.02,2/02/1957,1957,Unprovoked,Western Australia,Cape Levêque,unknown,M,unknown,unknown,unknown,unknown
1956.08.15.b,15/08/1956,1956,Provoked,Queensland,Near Southport,Diving,M,unknown,N,unknown,"Wobbegong shark, 4' "
1956.06.28,28/06/1956,1956,Unprovoked,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ","Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",M,unknown,N,unknown,2.3 m [7'] shark
1956.05.00,1/05/1956,1956,Unprovoked,Torres Strait,unknown,Diving,unknown,unknown,N,unknown,unknown
1956.03.11,11/03/1956,1956,Unprovoked,New South Wales,"Cronulla, near Sydney",Bathing,M,13,N,unknown,unknown
1956.03.04,4/03/1956,1956,Unprovoked,Victoria,"Portsea Beach, near entrance to Port Phillip Bay","Swimming, attacked at  surf carnival",M,26,Y,16h45,3.7 m [12'] shark & may have been another shark nearby
1956.03.00.b,1/03/1956,1956,Unprovoked,Western Australia,Fremantle,Attempting to set underwater endurance record,M,21,N,unknown,unknown
1956.02.26,26/02/1956,1956,Unprovoked,Queensland,Pioneer River near Mackay,Diving into water,M,15,Y,11h00,1.8 m [6'] shark
1956.02.10.R,10/02/1956,1956,Unprovoked,Victoria,Cowes,Swimming,M,8,N,unknown,unknown
1956.01.16.R,16/01/1956,1956,Unprovoked,Torres Strait,Palm Island,Diving for trochus,M,18,N,unknown,unknown
1956.01.05,5/01/1956,1956,Unprovoked,New South Wales,North Bondi,Surf skiing,M,25,N,unknown,5' to 6' shark
1955.12.31,31/12/1955,1955,Boating,Tasmania,unknown,Ocean racing,unknown,unknown,N,unknown,unknown
1955.10.16,16/10/1955,1955,Provoked,Queensland,"Tully, North Queensland",Spearfishing & lassoed shark,M,28,N,unknown,6' shark
1955.08.00.a,1/08/1955,1955,Boating,South Australia,Port Augusta,Fishing,unknown,unknown,N,unknown,Tooth fragments recovered from hull
1955.03.09,9/03/1955,1955,Unprovoked,New South Wales,Wamberal,Body surfing,M,22,Y,18h00,unknown
1955.03.00.a,1/03/1955,1955,Provoked,Western Australia,Woodman’s Point,"Competing in U/W endurance record, standing beside drum in 10' of water",M,25,N,11h55,unknown
1955.02.05,5/02/1955,1955,Unprovoked,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",Swimming,M,25,Y,14h35,3.6 m  white shark  (or bronze whaler)
1955.02.01.,1/02/1955,1955,Boating,New South Wales,Parramatta River,Rowing,unknown,unknown,N,unknown,unknown
1955.02.00,1/02/1955,1955,Boating,New South Wales,Coff’s Harbor,Rowing toward snapper grounds,unknown,unknown,N,unknown,4 m [13'] shark x 6
1955.01.17,17/01/1955,1955,Unprovoked,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",Hunting lobsters in 2.4 m of water,M,13,Y,14h30,"Bronze whaler shark,3.7 m [12'] "
1954.12.11,11/12/1954,1954,Unprovoked,Victoria,Point Lonsdale,Swimming,M,23,Y,11h00,unknown
1954.09.04,4/09/1954,1954,Unprovoked,Torres Strait,"Darnley Island, Torres Strait","Spearfishing, hunting crayfish",M,35,Y,unknown,9' shark
1954.06.27,27/06/1954,1954,Unprovoked,Queensland,Fitzroy Island,Pearl diving from lugger Whyalla,M,30,N,16h30,2.4 m [8']  shark
1954.02.27,27/02/1954,1954,Unprovoked,New South Wales,"The Entrance, near Gosford",Swimming,M,23,Y,17h15,unknown
1954.01.30,30/01/1954,1954,Unprovoked,New South Wales,Avoca Beach,Swimming,M,unknown,N,unknown,unknown
1954.01.22.b,22/01/1954,1954,Unprovoked,Torres Strait,Naghir Island,Spearfishing,M,30,N,unknown,unknown
1953.12.13,13/12/1953,1953,Unprovoked,Queensland,Palm Beach,Swimming or wading out  to warn bathers that a shark had been seen,M,16,N,12h00,unknown
1953.12.00,1/12/1953,1953,Unprovoked,New South Wales,Maroubra Beach,Surf skiing,M,unknown,N,unknown,3.7 [12'] shark
1953.10.00,1/10/1953,1953,Provoked,New South Wales,"Boat Harbour, north of Cronulla",unknown,M,unknown,N,unknown,unknown
1953.06.00,1/06/1953,1953,Provoked,Queensland,unknown,Landing hooked shark in boat,M,unknown,N,unknown,"2 m [6'9""] shark "
1953.04.07,7/04/1953,1953,Boating,New South Wales,1.5 miles off shore,unknown,unknown,unknown,N,unknown,unknown
1953.03.22,1/03/1953,1953,Unprovoked,New South Wales,"Long Reef, Collaroy",Spearfishing,M,23,N,unknown,unknown
1953.03.19.R,19/03/1953,1953,Unprovoked,South Australia,"Schnapper Rock, Kirton Point",Spearfishing,M,unknown,N,unknown,8' shark
1953.02.15,15/02/1953,1953,Unprovoked,New South Wales,Cave at Shell Harbour,Spearfishing,M,25,N,18h00,Wobbegong shark
1953.01.20,20/01/1953,1953,Provoked,South Australia,Largs Bay,Fishing,M,61,N,unknown,unknown
1953.01.08,8/01/1953,1953,Boating,Tasmania,Wynyard,Fishing,unknown,unknown,N,Afternoon,10' to 12' shark
1952.12.24,24/12/1952,1952,Unprovoked,Victoria,"Portsea Beach, near Melbourne",Lying prone on surfboard,M,unknown,N,unknown,unknown
1952.12.21,21/12/1952,1952,Unprovoked,South Australia,Cape Douglas,"Fishing, setting nets",M,25,N,"""After dark""",2.4 m [8'] shark
1952.05.07.R,7/05/1952,1952,Unprovoked,Western Australia,Boyup Brook,"Fishing, standing in water washing fish",M,unknown,N,unknown,"Carpet shark, 5' "
1952.04.06,6/04/1952,1952,Boating,South Australia,Streaky Bay,Fishing for white sharks,unknown,unknown,N,Morning,"White shark, 15'3"", 2,333-lb "
1952.01.07,7/01/1952,1952,Unprovoked,New South Wales,Evans Head,Surfing,M,unknown,N,unknown,8' shark
1951.12.16,16/12/1951,1951,Provoked,New South Wales,North Bondi,Spearfishing,M,18,N,unknown,"Wobbegong shark, 1.8 m [6'] "
1951.12.06,6/12/1951,1951,Unprovoked,New South Wales,"Merewether Beach, Newcastle",Treading water,M,21,Y,16h00,2.4 m [8']  shark
1951.10.22,22/10/1951,1951,Unprovoked,Queensland,"Ocean baths, Kissing Point Beach ",Swimming,M,42,Y,19h10,unknown
1951.09.02-R,2/09/1951,1951,Unprovoked,Queensland,Fitzroy River near Rockhampton,"Body found on deserted luxury yacht, 38’ Christine",M,56,Y,unknown,unknown
1951.03.26,26/03/1951,1951,Provoked,New South Wales,Avalon,Fell off surf ski,M,23,N,Afternoon,"Wobbegong shark, 4'"
1951.03.24,24/03/1951,1951,Unprovoked,New South Wales,Sydney,"Fishing, casting in the surf",M,unknown,N,unknown,5.5 m [18'] shark
1951.02.03,3/02/1951,1951,Unprovoked,New South Wales,"Windang, near the entrance to Lake Illawarra",Spearfishing (but treading water on the surface),M,20,N,unknown,unknown
1951.02.01,1/02/1951,1951,Unprovoked,New South Wales,Bondi Beach,Swimming,M,14,N,unknown,1.2 m [4'] shark
1951.01.03,3/01/1951,1951,unknown,New South Wales,Hawkesbury River,unknown,M,unknown,Y,unknown,unknown
1950.12.31,31/12/1950,1950,Unprovoked,Queensland,Kirra,Paddling a surfboat,M,19,N,unknown,"Nurse shark, 10' "
1950.12.19.R,19/12/1950,1950,Unprovoked,New South Wales,Jervis Bay,Swimming,unknown,unknown,N,unknown,"Wobbegong shark, 6'"
1950.12.16,16/12/1950,1950,Unprovoked,Queensland,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane",Treading water,M,20,Y,16h15,unknown
1950.11.29,29/11/1950,1950,Provoked,Northern Territory,Goulburn Island,Diving ,M,17,N,unknown,2' shark
1950.11.25,25/11/1950,1950,Unprovoked,Queensland,"Burleigh Heads, Brisbane",Body surfing,M,21,N,17h15,"White shark, 3m, seen in area and hooked 3 days later"
1950.11.12,12/11/1950,1950,Boating,Queensland,Yeppoon,Paddling a canoe,M,18,N,unknown,10' shark
1950.10.04,4/10/1950,1950,Unprovoked,Queensland,"Peterson's Beach, Sarina",Fishing,M,25,N,Night,4' shark
1950.07.27.R,27/07/1950,1950,Boating,South Australia,Streaky Bay,Fishing,unknown,unknown,N,unknown,17' white shark
1950.04.09.b,9/04/1950,1950,Sea Disaster,Queensland,Cooper's Point,"Sea Disaster, sinking of the fishing  launch Mavis",M,50,Y,unknown,unknown
1950.03.01,1/03/1950,1950,unknown,Western Australia,"City Beach, Perth",Suicide,M,unknown,Y,unknown,"Szot's right hand found in a 4.5' [14.5'] tiger shark caught 3/9/1950 at Safety Bay, south of Freemantle"
1950.02.18.R,18/02/1950,1950,Unprovoked,Western Australia,"Cottesloe, Perth",Spearfishing,M,unknown,N,unknown,small carpet shark
1950.01.12.R,12/01/1950,1950,Unprovoked,Victoria,South Werribee Beach,Swimming,M,unknown,N,unknown,unknown
1950.00.00.m,3/05/1905,1950,Boating,Tasmania,Triabunna,Sitting on side of dinghy mending a net,M,unknown,N,unknown,"White shark, 3.6 m,  420 kg male"
1949.12.00.a,1/12/1949,1949,Unprovoked,Victoria,Seaholme,Lying on the bottom of a 16' dinghy,M,35,N,unknown,"Grey nurse shark, 2.6 m [8.5']  "
1949.11.20,20/11/1949,1949,Unprovoked,New South Wales,"Kurnell, Botany Bay ",Free diving or wading back to shore,M,36,N,Afternoon,6' shark
1949.11.12,12/11/1949,1949,unknown,Victoria,Port Phillip Bay,No details,M,unknown,Y,unknown,unknown
1949.08.28.b,28/08/1949,1949,Unprovoked,Queensland,Yorkey’s Knob Beach near Cairns,Swimming,M,21,N,13h20,unknown
1949.08.28.a,28/08/1949,1949,Unprovoked,Queensland,Yorkey’s Knob Beach near Cairns,Swimming,M,34,Y,13h20,unknown
1949.08.16,16/08/1949,1949,Unprovoked,Tasmania,Flinders Island,Swimming near shore,M,18,N,16h00,unknown
1949.05.16,16/05/1949,1949,Unprovoked,Western Australia,Broome,Bathing,F,22,N,unknown,"Whaler shark, 2.7 m [9'], 350- to 450-lb  identified by G.P. Whitley"
1949.05.13,13/05/1949,1949,Provoked,New South Wales,Nelson's Bay,"Examining netted shark, that had been shot",M,26,N,unknown,unknown
1949.04.18,18/04/1949,1949,Provoked,Queensland,"Nerang River, Southpot",Fishing,M,unknown,N,unknown,3' shark
1949.04.17,17/04/1949,1949,Unprovoked,Queensland,"Ellis Beach, 20 miles from Cairns",Bathing in water 0.9 m deep,M,13,Y,13h30,"3.3 m [10'9""] shark"
1949.03.00,1/03/1949,1949,Boating,South Australia,18 miles south of Port Augusta,unknown,unknown,unknown,unknown,unknown,unknown
1949.01.23,23/01/1949,1949,Unprovoked,New South Wales,"Bar Beach, Newcastle ",Lifesaving exhibition,M,20,Y,15h00,"White shark, 3.6 m [11'9""] "
1949.01.14,14/01/1949,1949,unknown,New South Wales,Off North Bondi,Surfing,M,32,N,Afternoon,unknown
1949.01.13,13/01/1949,1949,Unprovoked,New South Wales,"Mona Vale, near Sydney",Surf skiing,M,unknown,N,unknown,unknown
1949.01.05,5/01/1949,1949,unknown,Western Australia,"Leighton Beach, North Fremantle",unknown,unknown,unknown,unknown,unknown,"Tiger shark, 2.4 m [8']"
1948.12.27,27/12/1948,1948,Unprovoked,Western Australia,Lancelin Island,Swimming,M,17,Y,unknown,His hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949
1948.12.26,26/12/1948,1948,Unprovoked,Queensland,"King’s Beach, Caloundra","Treading water, waiting for a wave",M,28,Y,11h30,unknown
1948.12.10,10/12/1948,1948,Unprovoked,Queensland,Rib Reef off Townsville,Fishing,M,unknown,N,unknown,unknown
1948.11.18,18/11/1948,1948,Unprovoked,Torres Strait,"Saibai Island, 80 miles north of Cape York",Pearl diving,M,41,N,unknown,unknown
1948.02.12,12/02/1948,1948,Unprovoked,New South Wales,"Stockton Beach, Newcastle",Swimming,M,16,Y,unknown,3.7 m [12'] shark
1948.01.25,25/01/1948,1948,Unprovoked,New South Wales,"Mona Vale, near Sydney",Surf skiing,M,unknown,N,unknown,6' shark
1947.12.21,21/12/1947,1947,Unprovoked,New South Wales,"Watson Taylor's Lake, 25 miles south of Port Macquarie",Fishing,M,9,N,P.M.,Grey nurse shark
1947.11.23,23/11/1947,1947,Boating,South Australia,3 miles out to sea off Glenelg,Fishing,unknown,unknown,N,unknown,5.5 m [18'] shark
1947.11.14.b,14/11/1947,1947,Unprovoked,New South Wales,"Knobby's Beach, Newcastle",Fishing from surf ski,M,17,N,Dusk,unknown
1947.11.14.a,14/11/1947,1947,Unprovoked,New South Wales,"Knobby's Beach, Newcastle",Fishing from surf ski,M,16,N,Dusk,unknown
1947.11.08.b,8/11/1947,1947,Unprovoked,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,12,Y,16h00,unknown
1947.11.08.a,8/11/1947,1947,Unprovoked,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,13,N,16h00,unknown
1947.11.00,1/11/1947,1947,Unprovoked,Queensland,Moreton Bay,unknown,unknown,78,Y,unknown,unknown
1947.10.28,28/10/1947,1947,Unprovoked,Northern Territory,"Mornington Island, Gulf of Carpentaria",Fishing in waist-deep water,M,unknown,N,unknown,unknown
1947.07.24.R,24/07/1947,1947,Unprovoked,Northern Territory,Darwin Harbour,Diving,M,unknown,N,unknown,"Most likely, a small shark"
1947.06.16,16/06/1947,1947,Boating,New South Wales,Coogee,Fishing,unknown,unknown,N,unknown,"Tiger shark, 14' "
1947.04.06,6/04/1947,1947,Unprovoked,New South Wales,Palm Beach,Surfing,M,17,N,unknown,unknown
1947.02.23,23/02/1947,1947,Boating,Queensland,Palm Beach,Fishing,unknown,unknown,N,unknown,unknown
1947.01.14,14/01/1947,1947,Boating,New South Wales,"Berry's Bay, Sydney Harbour",Rowing,unknown,17,N,unknown,"4.5  m [14'9""] shark"
